name,url,class,article
Curious alignments over Hammersmith and Fulham social housing plans,https://www.theguardian.com/uk-news/davehillblog/2015/may/18/curious-alignments-over-hammersmith-and-fulham-social-housing-plans,uk-news,I remarked while ago on the unlikely alignment in the political battleground of Hammersmith and Fulham between the local radical Conservatives and the campaign to Defend Council Housing  DCH Both are warning council tenants on the borough estates that the Labour run borough residents  housing commission looking into moving their homes to the ownership of housing associations would not be good for them DCH opposes such stock transfers as form of privatisation that weakens tenants  rights and increases their rents  The Tories are citing DCH views approvingly  In March  Charlie Dewhirst  the party  ultimately unsuccessful  parliamentary candidate for Hammersmith produced leaflet for council tenants quoting the DCH critique and warning that under Labour plans council housing in the borough could cease to be The Labour administration is scornful of the Conservatives  activities  noting that before it took charge of the Town Hall following shock victory last May  the Tories had been eagerly selling off council stock on the open market and had put two entire estates at the disposal of property developer Capital and Counties  Capco  for very friendly price as part of the Earls Court Project  surely the worst major regeneration scheme in London Labour rationale for setting up the commission  led by formed Labour minister Keith Hill  is that the more of its homes that pass into housing association hands  the fewer there will be for any future Tory regime to flog off or arrange to have knocked down to make way for stacks of expensive private flats that only the likes of Capco directors can afford  No wonder Dewhirst and co want the housing to stay in council hands As for DCH  Labour is exasperated that the group campaigning against the commission is  however inadvertently  helping the Tories spread their mischief  But DCH is sticking to its line  adding that  thanks to the reforms of the last national government  housing associations are nowadays likely to introduce the more expensive  affordable rent  tenures for new homes and tenancies and claiming that the types of small scale  tenant controlled housing association the Hill commission is looking at setting up offer only hollow promises of security There a further dimension to all this  The tenants and residents associations  TRAs  of the two estates threatened by the Earls Court scheme have long been exploring taking ownership of the   homes they comprise under provisions the coalition brought into being under its localism banner and have set up company called West Kensington and Gibbs Green Community Homes to that end  The council  immersed in complex and very hush hush negotiations with Capco in an attempt to save the estates  is not keen on this initiative Meanwhile  the steering group of residents set up and funded by the F Tories and Capco effectively to by pass the opposition of the TRAs and create an illusion that estate residents were in favour of demolition programme that the bulk of them  in fact  opposed has produced newsletter criticising the TRAs and the council  praising Capco plans for rehousing tenants elsewhere in the regeneration area and containing criticisms of housing associations that match those in the Dewhirst leaflet almost word for word  What curious state of affairs Where all this will end is anyone guess  but it helpfully highlights the predicaments and complexities of protecting social housing of every kind in the current political climate a climate that has become still more hostile with the election of Conservative national government whose policy of extending the right to buy to housing associations will  if implemented  entail councils in London  and elsewhere  selling off their highest value homes in order to help finance it  What way to solve housing crisis 
Briton killed in Kabul suicide bomb attack named as Michael Hampshire,https://www.theguardian.com/uk-news/2015/may/18/briton-killed-in-kabul-suicide-bomb-attack-named-as-michael-hampshire,uk-news,A British security contractor who was killed in suicide bomb attack in Kabul on Sunday has been named by the Foreign Office as Michael Hampshire Hampshire  from Huddersfield  was among three victims when suicide bomber drove car laden with explosives into vehicle belonging to the European Union police mission  Eupol  outside the Afghan capital airport  Two teenage Afghan girls were also killed in the attack  with at least  wounded Hampshire family have paid tribute to  loving fiance  son  grandson  brother  uncle  cousin and friend to everyone who knew him  In statement released by the Foreign Office  they added No words can explain what we are going through at this time and we will miss Michael dearly  We would like to take this opportunity to thank people for the messages we have received but would now like  as family  to grieve for Michael in peace  The attack took place around  am on Sunday  when the bomber drove white Toyota Corolla into the European police convoy near the main airport entrance  It was on its way to Nato military installation nearby  police spokesman  Ebadullah Karimi  told news agencies  The blast from the explosion could be heard several miles away  from where white plume of smoke could also be seen In statement on Twitter  Taliban spokesman claimed responsibility for the attack  The insurgents have ramped up violence as part of their annual spring offensive  which they have claimed will target foreign invaders and their  agents  However  all the Afghan casualties in Sunday attacks were civilians  authorities said This follows an attack last Wednesday when gunmen killed five Afghans and nine foreigners at guesthouse in the capital  including several aid workers  One of the victims was an Afghan British national 
Husband of British woman found dead in Thai hotel pool reveals devastation,https://www.theguardian.com/uk-news/2015/may/18/rachel-turner-brown-thailand-koh-chang-swimming-pool-hotel,uk-news,The husband of British woman who reportedly drowned while on holiday in Thailand at the weekend has said her death has left him  in absolute tatters  Rachel Turner Brown  from Wolverhampton  is said to have been found dead in hotel swimming pool on the island of Koh Chang days after she arrived with her husband  Stefan Brown  It is thought the couple  who reportedly run healthcare recruitment company  had planned two month tour of Thailand  Laos  Cambodia and Vietnam The Foreign Office confirmed that British national died in Thailand on  May Responding to messages of condolences on his Facebook page  Mr Brown said I in absolute tatters  still in shock  not sunk in yet  Not able to listen to any music  just tried to listen to something but reminded me immediately of Rachel  cried my eyes out and had to turn it off  On arriving in Thailand on  May  Mrs Turner Brown said on her Facebook page Yay  flights and hours in Dubai later  arrived in Bangkok airport to mega heat  feeling super exhausted but terrifically excitables in Thailand   weeks of way hay HAAAAYYYYYY  Thailand  Laos  Cambodia Vietnam here we come She had then shared photos of the couple enjoying local cuisine and boat rides over the following days Brown says the couple fell asleep in their hotel bed on Saturday evening before he was woken on Sunday morning by the hotel owner after member of staff had found his wife body in the pool  the Daily Mail reported  It is believed she had gone for an early morning swim  went outside and thought  Oh my God  my whole world dropped  don want to say what saw  It just too hard at the moment he told the paper A spokeswoman for the Foreign and Commonwealth Office said We can confirm the death of British national on  May in Thailand  We are providing consular support to the family  
Woman cleared of baby daughter death killed herself after neighbours  taunts,https://www.theguardian.com/uk-news/2015/may/18/danah-vince-cleared-baby-daughters-death-killed-herself-neighbours-abuse,uk-news,A woman who was cleared by jury of killing her infant daughter took her own life after being taunted as  baby killer  by neighbours Danah Vince  week old daughter  Paris  suffered some of the most severe eye injuries that specialists had seen after her head was banged or shaken  William Stephens  Vince partner and Paris father  was convicted of manslaughter but Vince  was acquitted Vince was then hounded by her neighbours in Bristol over the next  months  an inquest was told  She was abused in the street and received threatening messages on social media and in the post  After confrontation with gang of young women in pub she was heard to say I ll end it all  can do it any more Hours later she was found dead Maria Voisin  senior coroner for Avon  reached conclusion of suicide and said Vince was  very upset  following the incident in the pub  Voisin said On the evening before her death  Danah was involved in an altercation while out with friends and she was very upset  She was on medication for depression  Danah Vince deliberately took drugs and alcohol to cause her own death  The appropriate conclusion should be suicide  Vince father  David John Vince  told the inquest that his daughter had been  up and down  since Paris  death She was depressed and found it difficult coming to terms with what happened to Paris Mr Vince said Females in the area would shout  baby killer  to her when she was in the street or walking to the shops  One night after finishing work  females were waiting for her and tried to force her into car  She told me she received letters and threatening Facebook messages from people  She was strong and tried to stand up for herself  telling people she hadn done anything wrong but this did get her down  She found it hard to move on with her life because of the abuse  Every time spoke to her she would tell me that someone had shouted abuse or threatened her  In November last year a year after her acquittal Vince was abused in pub at birthday celebration Her cousin Jaylea Monks said These women were shouting at Danah  calling her baby killer  Danah was saying I didn kill her  didn kill my baby She was also saying things like I can take any more of this When Vince father could not contact her the next day he went to her flat and found her dead Vince GP  Dr Stephanie Chadwick  said she was  much lower  than usual during an appointment five days before her death  Chadwick referred Vince to mental health team but she died before speaking to member of the service William Stephens was jailed for six years for killing Paris  Sentencing judge Mr Justice Teare said Stephens lost his temper or control but accepted that he had serious learning difficulties that may have inhibited his understanding of what he was doing The prosecution alleged one or other of the couple had caused the injuries and the other was culpable in so far as they caused or allowed the death of the child  Vince was cleared by the jury The Samaritans   hour helpline is      
SNP considers voting to stop lifting of foxhunting ban,https://www.theguardian.com/uk-news/2015/may/18/snp-considers-voting-to-stop-lifting-of-foxhunting-ban,uk-news,The Scottish National party is considering whether to oppose the repeal of the foxhunting ban in England and Wales  which is being pushed by some Conservative MPs  who hope there could be vote this year SNP MPs usually do not vote on issues that only affect England and Wales  but the party leader  Nicola Sturgeon  has hinted that this could be an exception During the election campaign  she said the SNP was open to changing its policy on keeping out of votes on devolved issues  such as health  if Westminster actions could have knock on effect on Scotland Some Tory MPs are pushing for vote on foxhunting to be held within the next few months after it was promised in the party manifesto  The Hunting Act introduced by the Labour government in  bans hunting foxes  deer  hare and mink with dogs Asked on Twitter about how the SNP would vote  Sturgeon replied The SNP has not yet taken decision on this  We certainly don agree with repealing ban   The Extractor  the SNP has not yet taken decision on this  We certainly don agree with repealing banThe SNP Westminster leader  Angus Robertson  told the Scotsman newspaper SNP MPs still have to consider the legislation  which we haven seen  We need to see it  but of course we will be looking at that closely  You do of course understand that the UK government imposes its fiat its will on Scotland without any significant legitimacy whatsoever  so we re having legislation foisted on Scotland with only one  Tory  MP  So we have to look at all of the issues coming forward in this new parliament following the independence referendum on its merits and we ll be doing that when we see the legislation that is proposed by the government  Despite David Cameron personal support for foxhunting  Downing Street is unlikely to be happy about the reignition of the controversial issue now that the Conservatives have majority MPs would be allowed to vote however they wished on foxhunting as it is considered to be an issue of conscience With majority of just   there would only have to be few Conservative rebels for the repeal to be blocked with the help of Labour and the SNP 
Russian whistleblower had traces of rare poison in stomach  plant expert says,https://www.theguardian.com/uk-news/2015/may/18/russian-whistleblower-traces-poison-stomach-plant-expert-says-alexander-perepilichnyy-inquest,uk-news,A Russian whistleblower who collapsed and died outside his home in Surrey after warning of death threats from the Kremlin had traces of rare plant poison in his stomach  pre inquest hearing has heard An expert in plant toxicology found traces linked to an extremely poisonous species of gelsemium in the stomach of Alexander Perepilichnyy  the hearing heard  potentially contradicting police assurances that his death in  was not suspicious  He died aged   having previously been healthy In case with strong echoes of the suspected murder in London of another exiled Russian  Alexander Litvinenko  Perepilichnyy had repeatedly warned his life was at risk from forces linked to the Kremlin after he provided details of alleged fraud involving Russian tax officials in which about       was stolen The stolen money allegedly came from taxes paid by Hermitage Capital  hedge fund run by US born financier  Bill Browder  now major critic of Vladimir Putin rule  Browder said his firm repeatedly warned Surrey police that Perepilichnyy death was probably suspicious Despite this  according to Browder  no toxicology tests were carried out until three weeks after the death and they found no obvious cause  In   Surrey police said found no evidence of wrongdoing was found and handed the matter to the coroner The full inquest was scheduled to begin at Surrey coroner court on Monday  but it was suddenly delayed after receiving the results of the new tests  believed to have been carried out by Prof Monique Simmonds  plant expert at the Royal Botanic Gardens in Kew  south west London The hour long hearing before the Surrey coroner  Richard Travers  heard that she had found ions associated with the poison in Perepilichnyy stomach  The traces were very rare and could only come from one of five sources  all linked to varieties of the gelsemium plant the most toxic of which  Gelsemium elegans  only grows in Asia The same poison has previously been linked to another high profile death  In   Chinese billionaire Long Liyuan died after eating cat meat stew believed to have been laced with gelsemium elegans After discussions with the interested parties in the case Perepilichnyy family  Surrey police and insurers it was decided that the full inquest should be postponed until September to allow for further tests Hermitage Capital has already written to the coroner outlining Browder worries about the case  The  page letter explains that the company  which at one point was the biggest international investment fund in Russia  was the victim of the massive alleged fraud  Browder lawyer  Sergei Magnitsky  was arrested in  and died in police custody The letter says Perepilichnyy  who had previously been involved in managing the stolen money  turned whistleblower in  after fleeing to the UK  He passed Hermitage documents allegedly showing what had happened in the fraud  helping Swiss prosecutors freeze large amount of the cash Perepilichnyy was expected to be key witness in subsequent Swiss court case  the letter says  but began to receive death threats  prompting him to take out life insurance  The policy involved him having medical tests  which revealed no health problems  But on  November   he collapsed and died outside his home in Weybridge Browder told the Guardian he was instantly suspicious We were immediately concerned that this was not natural death but something sinister he said A letter to Surrey chief constable and repeated phone calls to police brought no action  Browder said The police conclusion that there was nothing suspicious looks to me like the police weren doing their job properly  The background to this case is obviously highly suspicious  Browder said he was later passed unconfirmed reports that puncture mark  as if from needle  was found on the dead man neck He said I have no confidence in the police conduct  or in their subsequent investigation  What m hoping for is that the coroner  who is in effect an independent body  can use his powers to find the truth in this story  
Deadly beauty  the fake makeup that may contain cyanide or arsenic,https://www.theguardian.com/uk-news/shortcuts/2015/may/18/deadly-beauty-fake-makeup-contain-cyanide-arsenic-counterfeiters,uk-news,It enough to put you off your six step moisturising routine  Rat poo  arsenic  cyanide and even human urine are all among the not so desirable substances that have been found in fake perfumes and makeup being sold online in increasing quantities  police have warned Last year  the City of London Police Intellectual Property Crime Unit dismantled criminal operation suspected of importing and selling counterfeit goods  seizing shipping container full of what they believe to be more than   counterfeit versions of one of the UK most popular beauty brands with products including foundation  bronzer  lip gloss  eye shadow and eyebrow pencils Fake makeup is typically manufactured in the Far East China is one of the main source countries and is either shipped to the UK in sea containers or simply sent via postal services  People sell from their Facebook pages and places like that to avoid detection says Gavin Terry  lead officer for intellectual property with the Chartered Trading Standards Institute Going back few years  Ebay was the place to look  but as it has made their site more hostile for counterfeiters we ve seen displacement to social media and informalised selling channels  All the desirable brands get copied  he says  though he highlights MAC as one which he has seen aped That said  cosmetic scientist Colin Sanders thinks it is unlikely for arsenic to turn up in your cosmetics It would cost money to put it in he points out  Rat droppings are more of possibility  although they are  not particularly harmful in small quantities says Sanders so at least that reassuring Bargain hungry shoppers may  however  fall foul of counterfeiters using the wrong amounts of normal ingredients  especially preservatives  which could trigger an allergic reaction in the unsuspecting Once you ve developed an allergy to something you get it for considerable period of time  possibly even life says Sanders  This means that even using the genuine product could prompt such reactions at later date So how can you tell if your makeup is fake  The packaging is probably going to be pretty good rip off of the real thing in order to fool bargain hunters  Terry points out  The biggest tip  as ever  is to apply bit of common sense  where are you buying your makeup from  Does the price seem feasible If it ridiculously cheap says Terry it either going to be counterfeit or stolen  
Sun journalist  never thought paying police officer for stories might be illegal ,https://www.theguardian.com/uk-news/2015/may/18/sun-journalist-never-thought-paying-police-officer-for-stories-was-illegal,uk-news,A Sun reporter told of his struggles against  homophobic bully  boss as he launched defence in his trial over allegations that an anti terror police officer at Heathrow was paid for tips Anthony France  is accused at the Old Bailey of cultivating corrupt relationship with PC Timothy Edwards over four years While working at the airport in SO counter terrorism command  Edwards  allegedly sold  stories and titbits of information to the journalist in exchange for more than   Giving evidence  France told jurors on Monday he never thought paying source including Edwards for stories might be wrong or against the law Asked what he would have done if he thought talking to Edwards might be illegal  he said I would never have got involved with it  would have told him to get lost  m man of good character not involved in crime  The court heard how Edwards was  given  to France as source  After they met at pub in   he said he was told by colleague I ve spoken to lawyer and it fine  Asked what Edwards employers might have done if they had found out  France said I suspected they might not be happy and might put him through disciplinary process  thought with the public interest involved that the worst that might happen was he might be sacked  It never came to my mind that anybody considered it criminal  The court heard while working as the Sun crime reporter between  and   France had been involved in numerous campaigns involving victims of crime and even worked undercover He told jurors We do lot of campaigning  Very much on the crime desk lot of our campaigning is taking the concerns and cares of people who have been victim of crime and taking them to the policymakers  writing stories in the paper  campaigning on those issues  For example  he did lot of work with the father of young murder victim Damilola Taylor  he said But in   France had his title taken away by boss at the Sun who he described as  homophobic bully  He said as black gay man  it was particularly challenging working for the senior journalist  who cannot be named for legal reasons France told the jury I could stick up for myself but then there were attempts by him to get me out of the newspaper  Asked by his barrister Adrian Keeling QC why he was determined to stay  France replied Because crime reporting is my life  France  from Watford  denies the charge of aiding and abetting Edwards to commit misconduct in public office between March  and July  The trial was adjourned until Tuesday when France will continue giving evidence 
Fallon urged to act on whistleblower claims about Trident nuclear subs,https://www.theguardian.com/uk-news/2015/may/18/fallon-urged-act-whistleblowers-claims-trident-nuclear-subs,uk-news,The defence secretary  Michael Fallon  has been urged to investigate catalogue of alleged security failings around the Trident nuclear programme exposed by Royal Navy whistleblower Brendan Hara  the Scottish National party MP for Argyll and Bute  which includes the Faslane submarine base  said that the security lapses described by Able Seaman William McNeilly appeared to be  extremely worrying  and merited further investigation O Hara told the Guardian As an SNP MP implacably opposed to Trident but also as the local MP  am extremely worried by these allegations  even if only half of what the report claims is true  The issue of safety is absolutely paramount  especially when the base is so close to major centre of population  The newly elected MP added that he would write to Fallon to demand an investigation into the allegations  which he said  appear to confirm many concerns that have already been reported including those raised by the SNP Westminster leader  Angus Robertson  in number of written questions in the Commons The MP spoke as second Royal Navy whistleblower came forward to warn of security lapses in the service  saying that he found the allegations made by McNeilly to be persuasive The police and the navy launched hunt for McNeilly  when he went absent without leave from the Faslane naval base last week after publishing his report  The Nuclear Secrets  online In the  page dossier  McNeilly claimed that it was more difficult to get into some nightclubs than to gain access to Britain nuclear programme facility  Referring to chronic shortage of personnel  he suggested that it was  matter of time before we re infiltrated by psychopath or terrorist  McNeilly said he was preparing to hand himself in to police on Monday afternoon after being on the run since last week  In Facebook statement posted on Monday morning he told supporters There nothing can do from prison  whatever happens now is up to you and the government  On Monday former Royal Navy communications and information technology specialist said that McNeilly actions inspired him to speak out for the first time about the security lapses he saw while serving Euan Bryson  told the Guardian that McNeilly concerns about security breaches  rang true from my experience He described how shipmate routinely used blue bank card to get past security into his base after losing his Royal Navy identity card on night out Bryson  who served on HMS Ark Royal and HMS Illustrious and was based at Faslane before leaving the service in   said there were  manning issues  across the board meaning that relatively junior employees were often tasked to do jobs they did not have the security training or clearance to carry out  made my thoughts clear when served  including when handed in my resignation notice  The chain of command system has failed  If McNeilly felt ignored what other option did he have  You join to serve the country but if you feel your job is not serving it then you have an option to speak out  But  as the Ministry of Defence launched its own investigation into the allegations  senior members of the Royal Navy community sought to cast doubt on McNeilly claims  Peter Roberts  former Royal Navy warfare officer who retired last year after  years  service  said the report contained number of basic factual errors  from McNeilly use of jargon to the safe diving level for submarines  Most of his claims about on board the submarines are factually incorrect and there a degree of sensationalism  For that reason can place too much weight on it he said Roberts  who is now senior researcher at the Royal United Services Institute thinktank  said he did not think the allegations warranted high level Ministry of Defence investigation but that local inquiry into security at Faslane may be necessary McNeilly  newly qualified engineer from Newtonabbey near Belfast  now faces substantial jail term if he is prosecuted under the Official Secrets Act  An online petition against his prosecution has amassed more than   signatories since it was launched on Sunday Dee McLoughlin  who grew up with McNeilly in Newtonabbey  insisted that his friend was  not the type to make things up McLoughlin told the Guardian He a pretty leval headed person and know how much he loved his job in the navy  honestly couldn see him throwing it away unless it was for good reason  McNeilly  who said he was on patrol with HMS Victorious from January to April  accused navy bosses of covering up collision between HMS Vanguard and French submarine in the Atlantic Ocean in February  At the time  MoD officials played down the incident and said the Vanguard had sustained only  scrapes But McNeilly said in his report that navy chief who was on board at the time told him afterwards We thought  this is it we re all going to die  The more senior submariner allegedly told McNeilly that the French vessel  took massive chunk out of the front of HMS Vanguard  and grazed the side of the boat  Bottles of high pressured air came loose in the collision  he claimed  and the British submarine had to return slowly to Faslane to prevent them from exploding McNeilly went on to describe how HMS Vanguard missile compartment doubled up as gym  leading to potentially disastrous mishaps when seamen dropped weights near the boat missile firing system He said he raised these and other concerns through the chain of command on multiple occasions  but that  not once did someone even attempt to make change  MoD officials sought to downplay the allegations on Monday  Royal Navy spokeswoman said the service disagreed with McNeilly assessment and described the report as containing  number of subjective and unsubstantiated personal views  But in his Facebook statement  McNeilly countered Responding by downplaying report because there lack of seniority  acting like your security system is impenetrable and your aged system is still in excellent condition for sailing  is not an adequate response  He explained that he had moved between countries and changed location every day since going on the run  but that he now  lacks the resources to remain undercover  
Down Street ghostly tube station poised for new lease of life,https://www.theguardian.com/uk-news/2015/may/18/down-street-ghost-tube-station-london-underground,uk-news,Down Street London Underground station may have seen no passengers since   but Transport for London would now like to see it come back to life TfL is inviting ideas for new uses for the space  including the circular well of the original lift shaft  from people with big ideas and deep pockets  there will be considerable capital cost and an annual rent which could exceed     but if somebody comes up with good enough idea  it could bring another half dozen disused stations back into use  too Although the Piccadilly line trains which rumble through every four minutes no longer stop  the station is not abandoned  complicating London Transport efforts to come up with an imaginative new role for it  It is an access point for fire and maintenance crews to the line and also designated escape route  so some of it is still in regular use  Most of the warren of tunnels and stairs is pitch dark  used for storage or empty except for odd bits of plumbing and light fixtures and the remains of the wartime telephone exchange The original Edwardian lift and the wartime one fitted into the centre of the emergency stairs allegedly on Churchill insistence were removed long ago  The only access is through narrow door on side street in Mayfair and down   steps  though some weary worker  who may have counted more carefully while scrambling back up to the light  has crossed that out and written in   The eerie atmosphere has struck many  Just inside the street door somebody has neatly graffitied Warning to visitors  this structure contains at least two  known  portals to parallel universe The handwriting is similar to another message I hate my job  The station opened in  to protests from the wealthy Mayfair residents living nearby in some of the grandest houses in London  As proved by the mews lanes of stables and garages  all converted into millionaire residences  the carriage owning rich had little use for public transport  They managed to get the entrance located in narrow Down Street instead of on to Piccadilly  and since it was stroll from Green Park station  and within sight of the entrance of Hyde Park Corner  it was little used except by the servants going to work in the mansions  Long before it closed in   the station was unprofitable and only occasional trains stopped there In the years leading to   as it became clear that war was inevitable  the station found new use  Offices  dormitories  kitchens and bathrooms were installed and it was used for Cabinet meetings until work was completed on the Cabinet War Rooms complex under Whitehall Research continues on government business conducted there  Churchill hated spending time underground he called the offices  the barn  because of the wind whistling through it from passing trains so it seems unlikely the prime minister spent moment longer than essential there Many traces of its wartime use remain  including kitchen sink and work surfaces  lavatories  several baths and  more sinisterly  small  square ceramic tiles with the letter marking the spot where gas proof door was installed in fear of poison gas attack by the Germans When the Cabinet moved out  it became the headquarters for the railway executive committee  set up to keep the trains running nationally throughout the war  The levelled platform laid for the typing pool still survives in the widest tunnel  with corridor space alongside said to have been made just wide enough to take the vital tea trolley TfL knows from the pleas for admission  and its continual efforts to keep urban explorers at bay  what fascination the underworld holds for the public  Indeed  long before he got the job  Graeme Craig  director of commercial development for TfL  had book called Disused Underground Stations on his shelves  Perhaps not  Craig paused for the deafening rumble of another train   theatre or cinema  but something with low footfall and high value  gallery or an exhibition space  could work well  We are open to suggestions  
